"","Year","IceOnDate","IceOnJulian","IceOffDate","IceOffJulian","AnnualMax","AnnualMin","AnnualRain","AnnualSnow","SnowDepth","SpringMax","SpringMin","SpringRain","SpringSnow","SummerMax","SummerMin","SummerRain","SummerSnow","FallMax","FallMin","FallRain","FallSnow","WinterMax","WinterMin","WinterRain","WinterSnow"
"58",1984,"6-Dec",340,"31-May",151,26.11111111,-33.33333333,208.8901672759,172.363832831,1803.4,21.11111111,-33.33333333,16.4648811881,45.003118766,26.11111111,-7.222222222,160.154528656,7.99347133,22.22222222,-22.77777778,31.858340071,75.329660015,2.777777778,-32.22222222,0.4124173608,44.03758272
"59",1985,"11-Dec",345,"21-May",141,28.33333333,-45.55555556,291.565483838087,277.140516014,1905,20,-33.88888889,44.0356614009,96.680338564,28.33333333,-6.666666667,195.320716543,11.943283376,18.88888889,-28.33333333,52.1994814218,116.202518586,2.777777778,-45.55555556,0.0096244723871,52.314375488
"60",1986,"16-Dec",350,"4-Jun",155,26.11111111,-32.22222222,227.274527574,420.171472479,2006.6,23.88888889,-27.22222222,28.575321935,108.076678068,26.11111111,-4.444444444,144.212868562,1.075131465,21.11111111,-29.44444444,47.376560272,122.041439727,8.888888889,-32.22222222,7.109776805,188.978223219
"61",1987,"24-Dec",358,"8-May",128,26.11111111,-31.66666667,232.63979853086,144.042201422,1803.4,22.77777778,-27.77777778,73.794650734,45.077349262,26.11111111,-5,150.102480762,3.313519143,23.33333333,-18.88888889,7.07938159,17.304618396,5,-31.66666667,1.66328544486,78.346714621
"62",1988,"18-Dec",352,"19-May",139,29.44444444,-37.22222222,118.65408513125,247.359914801,1854.2,21.11111111,-31.11111111,40.95215401,90.61984595,29.44444444,-3.333333333,54.896930719,7.079069254,25,-25.55555556,22.56346477,82.846535228,8.888888889,-37.22222222,0.24153563225,66.814464369
"63",1989,"30-Dec",364,"18-May",138,30,-38.88888889,187.826601387934,283.851398782,1981.2,18.33333333,-38.88888889,25.801180486,123.296819625,30,-5.555555556,112.28038966,1.00361031,22.77777778,-21.11111111,49.452698986,52.401301004,5.555555556,-37.77777778,0.2923322559342,107.149667843
"64",1990,"21-Dec",355,"20-May",140,27.77777778,-41.66666667,246.962342036744,195.505657707,1676.4,16.11111111,-25.55555556,34.406401545,39.761598447,27.77777778,-3.333333333,162.447420399,3.414579518,25.55555556,-20,49.722105818,44.003894091,6.666666667,-41.66666667,0.386414274744058,108.325585651
"65",1991,"17-Dec",351,"1-Jun",152,27.22222222,-39.44444444,232.911204914414,256.546794832,1930.4,16.11111111,-30.55555556,81.0022886374,132.10371136,27.22222222,-3.888888889,86.776917979,0.599081931,26.66666667,-29.44444444,64.098233789,74.077766135,7.222222222,-39.44444444,1.033764509014,49.766235406
"66",1992,"4-Jan",369,"8-May",128,26.66666667,-33.33333333,216.8079984903,216.770001574,1955.8,21.11111111,-22.77777778,51.683916903,66.172083099,26.66666667,-7.777777778,113.166476564,12.055523513,21.11111111,-22.77777778,50.478722802,60.265277238,6.666666667,-33.33333333,1.4788822213,78.277117724
"67",1993,"27-Dec",361,"28-May",148,23.33333333,-33.33333333,251.36115201359,225.904847903,1828.8,21.66666667,-31.66666667,56.785277546,85.454722457,23.33333333,-5.555555556,176.200866804,23.443133168,22.22222222,-28.88888889,17.910127917,19.427872024,5,-33.33333333,0.46487974659,97.579120254
